"","year","net_income","total_assets"
"422",2013,3662,94222
"423",2013,8932,176589
"424",2013,854,27818
"425",2013,365,43982
"426",2013,901,33949
"427",2013,2905,135238
"428",2013,339,101987
"429",2013,13006,119731
"430",2013,140,65735
"431",2013,8628,197746
"432",2013,842,60695
"433",2013,2479,94486
"434",2013,5483,48879
"435",2013,848,286124
"436",2013,-6575,1019015
"437",2013,43816,286970
"438",2013,-6559,143913
"439",2013,1820,77249
"440",2013,3776,135540
"441",2013,34675,1022523
"442",2013,19804,274976
"443",2013,2413,159062
"444",2013,-8801,159401
"445",2013,1881,119483
"446",2013,1631,40627
"447",2013,132,37052
"448",2013,4080,130704
"449",2013,-326,649413
"450",2013,43037,1654191
"451",2013,134,39853
"452",2013,404,50177
"453",2013,-41648,1650561
"454",2013,766,111659
"455",2013,8978,303476
"456",2013,2214,249219
"457",2013,23084,345500
"458",2013,30386,638394
"459",2013,7038,88664
"460",2013,18430,143882
"461",2013,1361,26839
"462",2013,9715,87779
"463",2013,371067,2456486
"464",2013,92644,1348003
"465",2013,1598,27798
"466",2013,2095,88589
"467",2013,64923,281192
"468",2013,6622,87075
"469",2013,12631,88383
"470",2013,15636,592078
"471",2013,58656,764325
"472",2013,109,28402
"473",2013,1507,65118
"474",2013,537963,5045520
"475",2013,27373,327491
"476",2013,8118,82801
"477",2013,78196,621014
"478",2013,12767,175988
"479",2013,14583,52395
"480",2013,4144,107700
"481",2013,-4951,120354
"482",2013,1914,22642
"483",2013,4178,46208
"484",2013,11731,27776
"485",2013,-37453,300360
"486",2013,-695,17239
"487",2013,453,21149
"488",2013,955,39363
"489",2013,140,58947
"490",2013,233,958404
"491",2013,1107,124601
"492",2013,548,29722
"493",2013,10310,78728
"494",2013,2861,138694
"495",2013,1846,28151
"496",2013,280,390349
"497",2013,12952,117429
"498",2013,52300,346745
"499",2013,19937,1328900
"500",2013,480,252843
"501",2013,13946,132138
"502",2013,-332,176694
"503",2013,6652,46636
"504",2013,11170,124970
"505",2013,552,20728
"506",2013,965,37996
"507",2013,6755,1467853
"508",2013,365,74203
"509",2013,6646,65049
"510",2013,450,12776
"511",2013,14675,151299
"512",2013,225,26181
"513",2013,-1183,81293
"514",2013,-2173,117182
"515",2013,1792,257730
"516",2013,-15200,40763
"517",2013,35,37769
"518",2013,78,43614
"519",2013,9971,165661
"520",2013,943,72491
"521",2013,4701,88126
"522",2013,91,156625
"523",2013,28376,500647
"524",2013,-2421,57063
"525",2013,10666,58908
"526",2013,10,39462
"527",2013,22140,123497
"528",2013,2042,129811
"529",2013,1659,41103
"530",2013,329327,1307727
"531",2013,695,123397
"532",2013,14700,42446
"533",2013,64,43613
