"","parameter","method","value","data_type","iterations","metric"
"162","sigma","boot_resid_bca","0.488","real_hetero",240,"too_low"
"163","itct","wild","0.786","real_hetero",240,"coverage"
"164","itct","wild","0.212","real_hetero",240,"too_high"
"165","itct","wild","0.002","real_hetero",240,"too_low"
"166","slope","wild","0.788","real_hetero",240,"coverage"
"167","slope","wild","0.002","real_hetero",240,"too_high"
"168","slope","wild","0.21","real_hetero",240,"too_low"
"169","sigma","wild","0.518","real_hetero",240,"coverage"
"170","sigma","wild","0","real_hetero",240,"too_high"
"171","sigma","wild","0.482","real_hetero",240,"too_low"
"172","itct","wild_bca","0.786","real_hetero",240,"coverage"
"173","itct","wild_bca","0.214","real_hetero",240,"too_high"
"174","itct","wild_bca","0","real_hetero",240,"too_low"
"175","slope","wild_bca","0.786","real_hetero",240,"coverage"
"176","slope","wild_bca","0","real_hetero",240,"too_high"
"177","slope","wild_bca","0.214","real_hetero",240,"too_low"
"178","sigma","wild_bca","0.508","real_hetero",240,"coverage"
"179","sigma","wild_bca","0.002","real_hetero",240,"too_high"
"180","sigma","wild_bca","0.49","real_hetero",240,"too_low"
"181","itct","model","0.97","sim_NIDS",60,"coverage"
"182","itct","model","0.018","sim_NIDS",60,"too_high"
"183","itct","model","0.012","sim_NIDS",60,"too_low"
"184","slope","model","0.966","sim_NIDS",60,"coverage"
"185","slope","model","0.01","sim_NIDS",60,"too_high"
"186","slope","model","0.024","sim_NIDS",60,"too_low"
"187","itct","cases","0.95","sim_NIDS",60,"coverage"
"188","itct","cases","0.032","sim_NIDS",60,"too_high"
"189","itct","cases","0.018","sim_NIDS",60,"too_low"
"190","slope","cases","0.956","sim_NIDS",60,"coverage"
"191","slope","cases","0.016","sim_NIDS",60,"too_high"
"192","slope","cases","0.028","sim_NIDS",60,"too_low"
"193","sigma","cases","0.904","sim_NIDS",60,"coverage"
"194","sigma","cases","0.01","sim_NIDS",60,"too_high"
"195","sigma","cases","0.086","sim_NIDS",60,"too_low"
"196","itct","cases_bca","0.952","sim_NIDS",60,"coverage"
"197","itct","cases_bca","0.03","sim_NIDS",60,"too_high"
"198","itct","cases_bca","0.018","sim_NIDS",60,"too_low"
"199","slope","cases_bca","0.952","sim_NIDS",60,"coverage"
"200","slope","cases_bca","0.018","sim_NIDS",60,"too_high"
"201","slope","cases_bca","0.03","sim_NIDS",60,"too_low"
"202","sigma","cases_bca","0.908","sim_NIDS",60,"coverage"
"203","sigma","cases_bca","0.008","sim_NIDS",60,"too_high"
"204","sigma","cases_bca","0.084","sim_NIDS",60,"too_low"
"205","itct","boot_resid","0.952","sim_NIDS",60,"coverage"
"206","itct","boot_resid","0.032","sim_NIDS",60,"too_high"
"207","itct","boot_resid","0.016","sim_NIDS",60,"too_low"
"208","slope","boot_resid","0.958","sim_NIDS",60,"coverage"
"209","slope","boot_resid","0.012","sim_NIDS",60,"too_high"
"210","slope","boot_resid","0.03","sim_NIDS",60,"too_low"
"211","sigma","boot_resid","0.9","sim_NIDS",60,"coverage"
"212","sigma","boot_resid","0.01","sim_NIDS",60,"too_high"
"213","sigma","boot_resid","0.09","sim_NIDS",60,"too_low"
"214","itct","boot_resid_bca","0.948","sim_NIDS",60,"coverage"
"215","itct","boot_resid_bca","0.032","sim_NIDS",60,"too_high"
"216","itct","boot_resid_bca","0.02","sim_NIDS",60,"too_low"
"217","slope","boot_resid_bca","0.954","sim_NIDS",60,"coverage"
"218","slope","boot_resid_bca","0.02","sim_NIDS",60,"too_high"
"219","slope","boot_resid_bca","0.026","sim_NIDS",60,"too_low"
"220","sigma","boot_resid_bca","0.914","sim_NIDS",60,"coverage"
"221","sigma","boot_resid_bca","0.006","sim_NIDS",60,"too_high"
"222","sigma","boot_resid_bca","0.08","sim_NIDS",60,"too_low"
"223","itct","wild","0.952","sim_NIDS",60,"coverage"
"224","itct","wild","0.028","sim_NIDS",60,"too_high"
"225","itct","wild","0.02","sim_NIDS",60,"too_low"
"226","slope","wild","0.958","sim_NIDS",60,"coverage"
"227","slope","wild","0.016","sim_NIDS",60,"too_high"
"228","slope","wild","0.026","sim_NIDS",60,"too_low"
"229","sigma","wild","0.906","sim_NIDS",60,"coverage"
"230","sigma","wild","0.004","sim_NIDS",60,"too_high"
"231","sigma","wild","0.09","sim_NIDS",60,"too_low"
"232","itct","wild_bca","0.952","sim_NIDS",60,"coverage"
"233","itct","wild_bca","0.03","sim_NIDS",60,"too_high"
"234","itct","wild_bca","0.018","sim_NIDS",60,"too_low"
"235","slope","wild_bca","0.956","sim_NIDS",60,"coverage"
"236","slope","wild_bca","0.018","sim_NIDS",60,"too_high"
"237","slope","wild_bca","0.026","sim_NIDS",60,"too_low"
"238","sigma","wild_bca","0.9","sim_NIDS",60,"coverage"
"239","sigma","wild_bca","0.01","sim_NIDS",60,"too_high"
"240","sigma","wild_bca","0.09","sim_NIDS",60,"too_low"
"241","itct","model","0.958","sim_NIDS",120,"coverage"
"242","itct","model","0.022","sim_NIDS",120,"too_high"
"243","itct","model","0.02","sim_NIDS",120,"too_low"
"244","slope","model","0.952","sim_NIDS",120,"coverage"
"245","slope","model","0.02","sim_NIDS",120,"too_high"
"246","slope","model","0.028","sim_NIDS",120,"too_low"
"247","itct","cases","0.934","sim_NIDS",120,"coverage"
"248","itct","cases","0.032","sim_NIDS",120,"too_high"
"249","itct","cases","0.034","sim_NIDS",120,"too_low"
"250","slope","cases","0.94","sim_NIDS",120,"coverage"
"251","slope","cases","0.028","sim_NIDS",120,"too_high"
"252","slope","cases","0.032","sim_NIDS",120,"too_low"
"253","sigma","cases","0.932","sim_NIDS",120,"coverage"
"254","sigma","cases","0.014","sim_NIDS",120,"too_high"
"255","sigma","cases","0.054","sim_NIDS",120,"too_low"
"256","itct","cases_bca","0.936","sim_NIDS",120,"coverage"
"257","itct","cases_bca","0.028","sim_NIDS",120,"too_high"
"258","itct","cases_bca","0.036","sim_NIDS",120,"too_low"
"259","slope","cases_bca","0.936","sim_NIDS",120,"coverage"
"260","slope","cases_bca","0.034","sim_NIDS",120,"too_high"
"261","slope","cases_bca","0.03","sim_NIDS",120,"too_low"
"262","sigma","cases_bca","0.924","sim_NIDS",120,"coverage"
"263","sigma","cases_bca","0.016","sim_NIDS",120,"too_high"
"264","sigma","cases_bca","0.06","sim_NIDS",120,"too_low"
"265","itct","boot_resid","0.94","sim_NIDS",120,"coverage"
"266","itct","boot_resid","0.026","sim_NIDS",120,"too_high"
"267","itct","boot_resid","0.034","sim_NIDS",120,"too_low"
"268","slope","boot_resid","0.938","sim_NIDS",120,"coverage"
"269","slope","boot_resid","0.032","sim_NIDS",120,"too_high"
"270","slope","boot_resid","0.03","sim_NIDS",120,"too_low"
"271","sigma","boot_resid","0.92","sim_NIDS",120,"coverage"
"272","sigma","boot_resid","0.018","sim_NIDS",120,"too_high"
"273","sigma","boot_resid","0.062","sim_NIDS",120,"too_low"
"274","itct","boot_resid_bca","0.936","sim_NIDS",120,"coverage"
"275","itct","boot_resid_bca","0.028","sim_NIDS",120,"too_high"
"276","itct","boot_resid_bca","0.036","sim_NIDS",120,"too_low"
"277","slope","boot_resid_bca","0.938","sim_NIDS",120,"coverage"
"278","slope","boot_resid_bca","0.036","sim_NIDS",120,"too_high"
"279","slope","boot_resid_bca","0.026","sim_NIDS",120,"too_low"
"280","sigma","boot_resid_bca","0.93","sim_NIDS",120,"coverage"
"281","sigma","boot_resid_bca","0.014","sim_NIDS",120,"too_high"
"282","sigma","boot_resid_bca","0.056","sim_NIDS",120,"too_low"
"283","itct","wild","0.94","sim_NIDS",120,"coverage"
"284","itct","wild","0.022","sim_NIDS",120,"too_high"
"285","itct","wild","0.038","sim_NIDS",120,"too_low"
"286","slope","wild","0.944","sim_NIDS",120,"coverage"
"287","slope","wild","0.028","sim_NIDS",120,"too_high"
"288","slope","wild","0.028","sim_NIDS",120,"too_low"
"289","sigma","wild","0.936","sim_NIDS",120,"coverage"
"290","sigma","wild","0.01","sim_NIDS",120,"too_high"
"291","sigma","wild","0.054","sim_NIDS",120,"too_low"
"292","itct","wild_bca","0.938","sim_NIDS",120,"coverage"
"293","itct","wild_bca","0.026","sim_NIDS",120,"too_high"
"294","itct","wild_bca","0.036","sim_NIDS",120,"too_low"
"295","slope","wild_bca","0.938","sim_NIDS",120,"coverage"
"296","slope","wild_bca","0.03","sim_NIDS",120,"too_high"
"297","slope","wild_bca","0.032","sim_NIDS",120,"too_low"
"298","sigma","wild_bca","0.926","sim_NIDS",120,"coverage"
"299","sigma","wild_bca","0.012","sim_NIDS",120,"too_high"
"300","sigma","wild_bca","0.062","sim_NIDS",120,"too_low"
"301","itct","model","0.96","sim_NIDS",240,"coverage"
"302","itct","model","0.024","sim_NIDS",240,"too_high"
"303","itct","model","0.016","sim_NIDS",240,"too_low"
"304","slope","model","0.944","sim_NIDS",240,"coverage"
"305","slope","model","0.028","sim_NIDS",240,"too_high"
"306","slope","model","0.028","sim_NIDS",240,"too_low"
"307","itct","cases","0.95","sim_NIDS",240,"coverage"
"308","itct","cases","0.032","sim_NIDS",240,"too_high"
"309","itct","cases","0.018","sim_NIDS",240,"too_low"
"310","slope","cases","0.938","sim_NIDS",240,"coverage"
"311","slope","cases","0.03","sim_NIDS",240,"too_high"
"312","slope","cases","0.032","sim_NIDS",240,"too_low"
"313","sigma","cases","0.95","sim_NIDS",240,"coverage"
"314","sigma","cases","0.002","sim_NIDS",240,"too_high"
"315","sigma","cases","0.048","sim_NIDS",240,"too_low"
"316","itct","cases_bca","0.948","sim_NIDS",240,"coverage"
"317","itct","cases_bca","0.03","sim_NIDS",240,"too_high"
"318","itct","cases_bca","0.022","sim_NIDS",240,"too_low"
"319","slope","cases_bca","0.936","sim_NIDS",240,"coverage"
"320","slope","cases_bca","0.032","sim_NIDS",240,"too_high"
"321","slope","cases_bca","0.032","sim_NIDS",240,"too_low"
"322","sigma","cases_bca","0.946","sim_NIDS",240,"coverage"
"323","sigma","cases_bca","0.004","sim_NIDS",240,"too_high"
"324","sigma","cases_bca","0.05","sim_NIDS",240,"too_low"
"325","itct","boot_resid","0.944","sim_NIDS",240,"coverage"
"326","itct","boot_resid","0.034","sim_NIDS",240,"too_high"
"327","itct","boot_resid","0.022","sim_NIDS",240,"too_low"
"328","slope","boot_resid","0.936","sim_NIDS",240,"coverage"
"329","slope","boot_resid","0.032","sim_NIDS",240,"too_high"
"330","slope","boot_resid","0.032","sim_NIDS",240,"too_low"
"331","sigma","boot_resid","0.944","sim_NIDS",240,"coverage"
"332","sigma","boot_resid","0.004","sim_NIDS",240,"too_high"
"333","sigma","boot_resid","0.052","sim_NIDS",240,"too_low"
"334","itct","boot_resid_bca","0.942","sim_NIDS",240,"coverage"
"335","itct","boot_resid_bca","0.034","sim_NIDS",240,"too_high"
"336","itct","boot_resid_bca","0.024","sim_NIDS",240,"too_low"
"337","slope","boot_resid_bca","0.938","sim_NIDS",240,"coverage"
"338","slope","boot_resid_bca","0.028","sim_NIDS",240,"too_high"
"339","slope","boot_resid_bca","0.034","sim_NIDS",240,"too_low"
"340","sigma","boot_resid_bca","0.94","sim_NIDS",240,"coverage"
"341","sigma","boot_resid_bca","0.006","sim_NIDS",240,"too_high"
"342","sigma","boot_resid_bca","0.054","sim_NIDS",240,"too_low"
"343","itct","wild","0.946","sim_NIDS",240,"coverage"
"344","itct","wild","0.034","sim_NIDS",240,"too_high"
"345","itct","wild","0.02","sim_NIDS",240,"too_low"
"346","slope","wild","0.932","sim_NIDS",240,"coverage"
"347","slope","wild","0.034","sim_NIDS",240,"too_high"
"348","slope","wild","0.034","sim_NIDS",240,"too_low"
"349","sigma","wild","0.94","sim_NIDS",240,"coverage"
"350","sigma","wild","0.004","sim_NIDS",240,"too_high"
"351","sigma","wild","0.056","sim_NIDS",240,"too_low"
"352","itct","wild_bca","0.946","sim_NIDS",240,"coverage"
"353","itct","wild_bca","0.032","sim_NIDS",240,"too_high"
"354","itct","wild_bca","0.022","sim_NIDS",240,"too_low"
"355","slope","wild_bca","0.938","sim_NIDS",240,"coverage"
"356","slope","wild_bca","0.028","sim_NIDS",240,"too_high"
"357","slope","wild_bca","0.034","sim_NIDS",240,"too_low"
"358","sigma","wild_bca","0.94","sim_NIDS",240,"coverage"
"359","sigma","wild_bca","0.006","sim_NIDS",240,"too_high"
"360","sigma","wild_bca","0.054","sim_NIDS",240,"too_low"
"361","itct","model","0.988","sim_NIDS_outlier",60,"coverage"
"362","itct","model","0.012","sim_NIDS_outlier",60,"too_high"
"363","itct","model","0","sim_NIDS_outlier",60,"too_low"
"364","slope","model","0.98","sim_NIDS_outlier",60,"coverage"
"365","slope","model","0","sim_NIDS_outlier",60,"too_high"
"366","slope","model","0.02","sim_NIDS_outlier",60,"too_low"
"367","itct","cases","0.974","sim_NIDS_outlier",60,"coverage"
"368","itct","cases","0.024","sim_NIDS_outlier",60,"too_high"
"369","itct","cases","0.002","sim_NIDS_outlier",60,"too_low"
"370","slope","cases","0.964","sim_NIDS_outlier",60,"coverage"
"371","slope","cases","0","sim_NIDS_outlier",60,"too_high"
"372","slope","cases","0.036","sim_NIDS_outlier",60,"too_low"
"373","sigma","cases","0.888","sim_NIDS_outlier",60,"coverage"
"374","sigma","cases","0.112","sim_NIDS_outlier",60,"too_high"
"375","sigma","cases","0","sim_NIDS_outlier",60,"too_low"
"376","itct","cases_bca","0.974","sim_NIDS_outlier",60,"coverage"
"377","itct","cases_bca","0.022","sim_NIDS_outlier",60,"too_high"
"378","itct","cases_bca","0.004","sim_NIDS_outlier",60,"too_low"
"379","slope","cases_bca","0.964","sim_NIDS_outlier",60,"coverage"
"380","slope","cases_bca","0","sim_NIDS_outlier",60,"too_high"
"381","slope","cases_bca","0.036","sim_NIDS_outlier",60,"too_low"
"382","sigma","cases_bca","0.878","sim_NIDS_outlier",60,"coverage"
"383","sigma","cases_bca","0.122","sim_NIDS_outlier",60,"too_high"
"384","sigma","cases_bca","0","sim_NIDS_outlier",60,"too_low"
"385","itct","boot_resid","0.97","sim_NIDS_outlier",60,"coverage"
"386","itct","boot_resid","0.026","sim_NIDS_outlier",60,"too_high"
"387","itct","boot_resid","0.004","sim_NIDS_outlier",60,"too_low"
"388","slope","boot_resid","0.962","sim_NIDS_outlier",60,"coverage"
"389","slope","boot_resid","0","sim_NIDS_outlier",60,"too_high"
"390","slope","boot_resid","0.038","sim_NIDS_outlier",60,"too_low"
"391","sigma","boot_resid","0.88","sim_NIDS_outlier",60,"coverage"
"392","sigma","boot_resid","0.12","sim_NIDS_outlier",60,"too_high"
"393","sigma","boot_resid","0","sim_NIDS_outlier",60,"too_low"
"394","itct","boot_resid_bca","0.972","sim_NIDS_outlier",60,"coverage"
"395","itct","boot_resid_bca","0.024","sim_NIDS_outlier",60,"too_high"
"396","itct","boot_resid_bca","0.004","sim_NIDS_outlier",60,"too_low"
"397","slope","boot_resid_bca","0.964","sim_NIDS_outlier",60,"coverage"
"398","slope","boot_resid_bca","0","sim_NIDS_outlier",60,"too_high"
"399","slope","boot_resid_bca","0.036","sim_NIDS_outlier",60,"too_low"
"400","sigma","boot_resid_bca","0.88","sim_NIDS_outlier",60,"coverage"
"401","sigma","boot_resid_bca","0.12","sim_NIDS_outlier",60,"too_high"
"402","sigma","boot_resid_bca","0","sim_NIDS_outlier",60,"too_low"
"403","itct","wild","0.974","sim_NIDS_outlier",60,"coverage"
"404","itct","wild","0.024","sim_NIDS_outlier",60,"too_high"
"405","itct","wild","0.002","sim_NIDS_outlier",60,"too_low"
"406","slope","wild","0.966","sim_NIDS_outlier",60,"coverage"
"407","slope","wild","0","sim_NIDS_outlier",60,"too_high"
"408","slope","wild","0.034","sim_NIDS_outlier",60,"too_low"
"409","sigma","wild","0.888","sim_NIDS_outlier",60,"coverage"
"410","sigma","wild","0.112","sim_NIDS_outlier",60,"too_high"
"411","sigma","wild","0","sim_NIDS_outlier",60,"too_low"
"412","itct","wild_bca","0.974","sim_NIDS_outlier",60,"coverage"
"413","itct","wild_bca","0.024","sim_NIDS_outlier",60,"too_high"
"414","itct","wild_bca","0.002","sim_NIDS_outlier",60,"too_low"
"415","slope","wild_bca","0.964","sim_NIDS_outlier",60,"coverage"
"416","slope","wild_bca","0","sim_NIDS_outlier",60,"too_high"
"417","slope","wild_bca","0.036","sim_NIDS_outlier",60,"too_low"
"418","sigma","wild_bca","0.872","sim_NIDS_outlier",60,"coverage"
"419","sigma","wild_bca","0.128","sim_NIDS_outlier",60,"too_high"
"420","sigma","wild_bca","0","sim_NIDS_outlier",60,"too_low"
"421","itct","model","0.988","sim_NIDS_outlier",120,"coverage"
"422","itct","model","0.002","sim_NIDS_outlier",120,"too_high"
"423","itct","model","0.01","sim_NIDS_outlier",120,"too_low"
"424","slope","model","0.992","sim_NIDS_outlier",120,"coverage"
"425","slope","model","0.002","sim_NIDS_outlier",120,"too_high"
"426","slope","model","0.006","sim_NIDS_outlier",120,"too_low"
"427","itct","cases","0.98","sim_NIDS_outlier",120,"coverage"
"428","itct","cases","0.002","sim_NIDS_outlier",120,"too_high"
"429","itct","cases","0.018","sim_NIDS_outlier",120,"too_low"
"430","slope","cases","0.986","sim_NIDS_outlier",120,"coverage"
"431","slope","cases","0.002","sim_NIDS_outlier",120,"too_high"
"432","slope","cases","0.012","sim_NIDS_outlier",120,"too_low"
"433","sigma","cases","0.556","sim_NIDS_outlier",120,"coverage"
"434","sigma","cases","0.444","sim_NIDS_outlier",120,"too_high"
"435","sigma","cases","0","sim_NIDS_outlier",120,"too_low"
"436","itct","cases_bca","0.98","sim_NIDS_outlier",120,"coverage"
"437","itct","cases_bca","0.002","sim_NIDS_outlier",120,"too_high"
"438","itct","cases_bca","0.018","sim_NIDS_outlier",120,"too_low"
"439","slope","cases_bca","0.988","sim_NIDS_outlier",120,"coverage"
"440","slope","cases_bca","0.002","sim_NIDS_outlier",120,"too_high"
"441","slope","cases_bca","0.01","sim_NIDS_outlier",120,"too_low"
"442","sigma","cases_bca","0.554","sim_NIDS_outlier",120,"coverage"
"443","sigma","cases_bca","0.446","sim_NIDS_outlier",120,"too_high"
"444","sigma","cases_bca","0","sim_NIDS_outlier",120,"too_low"
"445","itct","boot_resid","0.98","sim_NIDS_outlier",120,"coverage"
"446","itct","boot_resid","0.002","sim_NIDS_outlier",120,"too_high"
"447","itct","boot_resid","0.018","sim_NIDS_outlier",120,"too_low"
